iter	Passed	Remaining
0	52	52863
1	53	26772
2	54	18092
3	55	13701
4	55	11080
5	56	9339
6	56	8081
7	57	7133
8	58	6390
9	58	5803
10	59	5322
11	59	4924
12	60	4589
13	61	4299
14	61	4053
15	62	3833
16	62	3637
17	63	3463
18	64	3311
19	64	3172
20	66	3083
21	67	2982
22	67	2879
23	68	2789
24	69	2699
25	69	2617
26	70	2540
27	71	2473
28	72	2412
29	72	2350
30	73	2291
31	73	2235
32	74	2183
33	75	2134
34	75	2086
35	76	2043
36	76	2002
37	77	1963
38	78	1926
39	78	1890
40	79	1857
41	79	1824
42	80	1792
43	81	1762
44	81	1734
45	82	1705
46	82	1678
47	83	1653
48	83	1630
49	84	1607
50	85	1584
51	85	1562
52	86	1540
53	86	1520
54	87	1501
55	87	1482
56	88	1464
57	89	1447
58	89	1430
59	90	1414
60	90	1398
61	91	1383
62	92	1368
63	92	1353
64	93	1339
65	93	1328
66	94	1315
67	94	1298
68	95	1285
69	95	1273
70	96	1261
71	96	1250
72	97	1238
73	98	1227
74	98	1216
75	99	1207
76	99	1197
77	100	1188
78	101	1181
79	101	1172
80	102	1163
81	103	1154
82	103	1145
83	104	1137
84	104	1127
85	105	1121
86	105	1111
87	106	1104
88	107	1097
89	107	1090
90	108	1083
91	109	1075
92	109	1068
93	110	1061
94	110	1055
95	111	1047
96	111	1041
97	112	1035
98	113	1029
99	113	1022
100	114	1016
101	114	1007
102	115	1003
103	115	997
104	116	991
105	116	985
106	117	979
107	117	973
108	118	968
109	118	962
110	119	956
111	120	951
112	120	946
113	121	941
114	121	937
115	122	931
116	122	926
117	123	921
118	123	916
119	124	911
120	124	907
121	125	903
122	125	897
123	126	893
124	126	888
125	127	884
126	128	880
127	128	874
128	129	871
129	129	867
130	130	863
131	130	859
132	131	855
133	131	852
134	132	849
135	133	845
136	133	842
137	134	838
138	134	834
139	135	831
140	135	828
141	136	825
142	137	821
143	137	819
144	138	816
145	138	812
146	139	809
147	140	806
148	140	803
149	141	800
150	141	796
151	142	793
152	142	790
153	143	788
154	144	785
155	144	781
156	145	778
157	145	776
158	146	773
159	146	770
160	147	767
161	147	764
162	148	762
163	148	759
164	149	757
165	150	754
166	150	751
167	151	749
168	151	746
169	152	743
170	152	741
171	153	738
172	154	736
173	154	734
174	155	732
175	155	729
176	156	727
177	157	725
178	157	723
179	158	720
180	158	717
181	159	714
182	159	712
183	160	710
184	160	708
185	161	705
186	161	703
187	162	701
188	162	698
189	163	696
190	163	694
191	164	692
192	165	691
193	165	689
194	166	687
195	166	684
196	167	682
197	168	680
198	168	678
199	169	676
200	169	674
201	170	672
202	170	670
203	171	668
204	171	666
205	172	664
206	172	662
207	173	660
208	174	658
209	174	656
210	175	654
211	175	652
212	176	650
213	176	649
214	177	647
215	177	645
216	178	643
217	178	641
218	179	639
219	179	637
220	180	636
221	180	634
222	181	632
223	182	630
224	182	628
225	183	627
226	183	625
227	184	623
228	184	621
229	185	620
230	185	618
231	186	616
232	186	615
233	187	613
234	187	611
235	188	609
236	188	608
237	189	606
238	190	605
239	190	603
240	191	601
241	191	600
242	192	598
243	192	596
244	193	595
245	193	593
246	194	592
247	194	590
248	195	588
249	195	587
250	196	585
251	196	584
252	197	582
253	198	582
254	198	581
255	199	579
256	199	578
257	200	576
258	201	575
259	201	573
260	202	572
261	202	570
262	203	569
263	203	568
264	204	566
265	204	565
266	205	563
267	205	562
268	206	561
269	207	559
270	207	558
271	208	557
272	208	555
273	209	554
274	209	553
275	210	551
276	210	550
277	211	549
278	211	547
279	212	546
280	213	545
281	213	543
282	214	542
283	214	541
284	215	539
285	215	538
286	216	537
287	216	535
288	217	534
289	217	533
290	218	531
291	218	530
292	219	529
293	219	527
294	220	526
295	220	525
296	221	523
297	221	522
298	222	521
299	222	520
300	223	519
301	224	517
302	224	516
303	225	515
304	225	514
305	226	513
306	226	512
307	227	510
308	227	509
309	228	508
310	228	507
311	229	505
312	229	504
313	230	503
314	230	502
315	231	501
316	232	500
317	232	498
318	233	497
319	233	496
320	234	495
321	234	494
322	235	492
323	235	491
324	236	490
325	236	489
326	237	488
327	237	487
328	238	485
329	238	484
330	239	483
331	239	482
332	240	481
333	240	480
334	241	479
335	241	478
336	242	477
337	243	475
338	243	474
339	244	473
340	244	472
341	245	471
342	245	470
343	246	469
